,id,name,market_cap,price_change_percentage_24h,twitter_followers,circ_perc,clusters
318,star-atlas,Star Atlas,186922318.0,2.64181,289857,6.0,0
319,ark,Ark,183266795.0,5.93481,77225,100.0,1
320,prometeus,Prometeus,183077855.0,3.16851,17069,82.24998,1
321,railgun,Railgun,182744105.0,9.95169,9539,100.0,1
322,allianceblock,AllianceBlock,180287270.0,4.49049,41653,34.312298332999994,0
323,seedify-fund,Seedify.fund,179721235.0,3.80539,485669,22.24349991,0
324,utrust,Utrust,179624840.0,-9.50884,87179,92.0,1
325,coinmetro,CoinMetro,179143094.0,-0.00434,17239,91.71954279272728,1
326,ageur,agEUR,178814468.0,1.42708,25020,100.0,1
327,bakerytoken,BakerySwap,178796321.0,3.39286,429150,69.42267283725572,1
328,storm,StormX,177055077.0,8.16324,81662,92.93310496239722,1
329,divi,Divi,176858609.0,-1.04114,35320,100.0,1
330,ice-token,Popsicle Finance,176601991.0,17.94083,64908,44.10312906009593,3
331,pirate-chain,Pirate Chain,175198924.0,2.90202,18126,94.74801204626,1
332,maidsafecoin,MaidSafeCoin,168120112.0,3.83041,51195,100.0,1
333,numeraire,Numeraire,167778230.0,4.78125,32831,53.77859731010509,0
334,kilt-protocol,KILT Protocol,166399500.0,1.26592,68121,37.181139085419765,0
335,gxchain,GXChain,166309699.0,5.50923,95485,75.0,1
336,orion-protocol,Orion Protocol,166012966.0,1.41672,94280,34.25,0
337,steem,Steem,165462916.0,1.15325,15106,100.0,1
338,xmon,XMON,164889412.0,-10.85169,22480,23.36719617699977,0
339,gitcoin,Gitcoin,163399404.0,7.73607,85946,14.21156383036192,0
340,avalaunch,Avalaunch,162384943.0,14.62508,103450,20.855805,0
341,venus,Venus,162261483.0,0.90122,143468,39.34168479965558,0
342,api3,API3,162080498.0,4.29759,34624,40.19863090405006,0
343,btc-standard-hashrate-token,BTC Standard Hashrate Token,159490927.0,10.66826,67588,48.58399807333333,0
344,sovryn,Sovryn,159015161.0,1.49749,44829,20.209278880699998,0
345,mxc,MXC,158870191.0,10.39279,20911,91.45346310177834,1
346,ankreth,Ankr Reward-Bearing Staked ETH,158682540.0,2.22579,156189,100.0,1
347,bezoge-earth,Bezoge Earth,157860332.0,24.87683,16533,43.87953369105174,3
348,dawn-protocol,Dawn Protocol,157705995.0,4.80847,8209,92.04870176530218,1
349,klever,Klever,154848457.0,3.85777,266039,52.350407816170296,0
350,truefi,TrueFi,153985834.0,8.01778,36703,39.070252060210755,0
351,compound-uniswap,cUNI,153907003.0,3.94655,212254,100.0,1
352,feg-token-bsc,FEG Token BSC,153149747.0,-2.35789,354399,42.51120341032652,0
353,gains-farm,Gains Farm,152220579.0,-3.97064,0,100.0,1
354,ribbon-finance,Ribbon Finance,151963399.0,1.03173,30770,5.1244207726950615,0
355,rome,Rome,150208043.0,6.73709,40194,98.59680304718896,1
356,velaspad,VelasPad,149993180.0,-0.82732,170567,100.0,1
357,astroport,Astroport,149743509.0,-0.93011,54070,11.1233761,0
358,presearch,Presearch,149666361.0,10.10969,31926,79.315687,1
359,handshake,Handshake,147458140.0,24.83262,21673,22.367127274553923,3
360,metadium,Metadium,147303620.0,4.33228,1209,84.3684812,1
361,rif-token,RSK Infrastructure Framework,146999000.0,2.23583,54733,81.8473339963124,1
362,auction,Bounce,146869290.0,3.14531,86327,100.0,1
363,swarm-bzz,Swarm,146236587.0,0.41882,23332,100.0,1
364,verasity,Verasity,142828841.0,22.14032,229805,23.14882442394887,3
365,gemini-dollar,Gemini Dollar,142715941.0,0.30478,260,100.0,1
366,vectorspace,Vectorspace AI,142667004.0,2.33694,16457,75.94388002,1
367,wrapped-centrifuge,Wrapped Centrifuge,141892469.0,-0.95663,50091,36.26236685524115,0
368,kyber-network-crystal,Kyber Network Crystal,141889785.0,0.91281,202784,57.23809489084941,0
369,opendao,OpenDAO,139887831.0,-2.09408,146259,43.4616119647492,0
370,electroneum,Electroneum,139779321.0,2.4093,137894,85.28942204971428,1
371,coin-of-the-champions,Coin of the champions,139449100.0,3.56617,3453,9.977353165756059,0
372,benqi,BENQI,139208494.0,6.45407,54813,16.662537666666665,0
373,hermez-network-token,Hermez Network,139070553.0,2.44101,0,17.612594346546505,0
374,biswap,Biswap,138217466.0,4.02665,231467,86.84146541001277,1
